CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"13900,""Bismarck, ND (Metropolitan Statistical Area)"",4133824,4248029,4548657,4756307,4861905,4984922,5008870,5135091,5290863,5436489,5724826,6468246,6578630,7133912,7380211,7019906,6970338,6800979,6715953,6475876,6715190"
"13980,""Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *"",5418397,5472888,5771791,5790184,6106022,6303681,6500173,6112051,5707073,5790528,5982277,5885165,5923023,5950981,6132671,6127932,6267147,6584157,6488181,6253016,6783900"
"14010,""Bloomington, IL (Metropolitan Statistical Area)"",8680940,8923939,9230280,9609909,9695646,10429046,10384296,10113373,10206043,10582882,10582938,10840529,10745210,11902890,12830672,13220672,13035369,13503964,13518228,12412266,12925097"
"14020,""Bloomington, IN (Metropolitan Statistical Area)"",4918594,5048856,5245975,5427582,5693413,5866341,5740202,5680104,5654502,5727631,5786933,5778282,5865323,6182996,6116970,6279105,6549787,6764083,6738295,6498431,6740158"
"14100,""Bloomsburg-Berwick, PA (Metropolitan Statistical Area)"",3183374,3367311,3368705,3563434,3625003,3802384,3741761,3784006,3775435,3941571,4050187,4039912,4114287,4044091,4103556,4064599,4099414,4065076,4146787,3941903,4186318"
"14260,""Boise City, ID (Metropolitan Statistical Area)"",18509182,18973137,20206511,21833285,24160478,24332640,24595015,25379076,24168518,24411266,24400582,24536898,25574262,26677592,27001259,28127679,29211458,31502760,32869996,33306484,36295460"
"14460,""Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)"",284104016,283248118,288878691,298678146,306066525,314625014,325030684,329980000,325923935,342090303,348885073,357088355,358706542,364733281,379370082,386932426,394469952,411806864,424318154,414213137,444402874"
"14500,""Boulder, CO (Metropolitan Statistical Area) *"",18076532,16864232,17119892,17608890,17995277,18492771,19667979,20593306,20212834,20673368,20817116,20898736,21534323,22180386,23061774,23746927,25116663,25875121,27671842,27024647,29154660"
"14540,""Bowling Green, KY (Metropolitan Statistical Area)"",4489436,4641180,4845479,5084917,5406703,5693587,5672158,5677185,5267209,5775974,5682605,5900586,6012536,6107885,6109570,6249863,6468835,6356064,6696322,6608107,6988563"
"14740,""Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)"",8477974,8932595,9100587,9530615,9896991,9873555,9931417,10469263,10201518,10210960,10161258,10030122,9931268,9954160,10247095,10715635,10771412,11015278,11142456,11408216,11741512"
"14860,""Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)"",76534461,76660731,76222458,80391775,82967936,86202047,89983436,91868849,86819192,85095638,80039362,82579135,80027150,79634547,80577928,80077784,80537177,81862266,82355020,75388851,79181882"
"15180,""Brownsville-Harlingen, TX (Metropolitan Statistical Area)"",7386716,7747059,7869778,7991176,8189873,8625583,8565825,8624999,8598106,8974013,9232080,9327236,9440373,9442835,9454224,9689054,9661170,9823716,10072582,10129653,10741407"
