CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
"15540,""Burlington-South Burlington, VT (Metropolitan Statistical Area)"",3.2,6.9,7.2,0.4,1.8,-2.1,6.5,-1.0,4.8,2.6,1.0,-1.4,1.3,0.9,2.7,0.5,1.0,1.8,-2.7,5.3"
"15680,""California-Lexington Park, MD (Metropolitan Statistical Area)"",6.7,6.2,4.2,2.6,3.2,3.3,2.0,2.3,8.0,5.3,0.1,-0.8,1.4,2.6,2.6,2.0,0.7,1.8,2.0,1.8"
"15940,""Canton-Massillon, OH (Metropolitan Statistical Area)"",1.6,0.0,1.9,1.8,-3.3,-1.3,-1.6,-6.1,5.4,7.2,-2.0,6.7,6.3,0.5,-1.5,0.9,-1.0,0.9,-6.0,5.1"
"15980,""Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"",8.3,10.3,13.5,9.4,7.5,0.3,-8.6,-9.3,-1.8,-0.9,2.1,2.1,4.9,6.0,7.3,2.3,3.2,1.2,0.2,8.9"
"16020,""Cape Girardeau, MO-IL (Metropolitan Statistical Area)"",3.3,0.9,4.5,4.7,1.3,1.6,1.3,-1.5,-1.6,-0.7,0.9,0.2,0.5,2.6,1.3,0.1,1.3,-0.8,-3.4,2.6"
"16060,""Carbondale-Marion, IL (Metropolitan Statistical Area)"",4.6,0.8,1.4,3.1,1.7,-1.4,5.2,0.5,3.5,3.4,0.0,-3.3,-2.4,-0.6,-0.8,0.2,2.8,-0.1,-5.5,3.4"
"16180,""Carson City, NV (Metropolitan Statistical Area)"",1.4,1.4,1.6,2.3,3.0,2.5,0.7,-2.1,5.4,-8.1,-1.3,-0.7,-5.1,0.8,-0.5,6.3,3.8,6.1,-3.0,4.1"
"16220,""Casper, WY (Metropolitan Statistical Area)"",2.7,3.0,7.1,8.1,14.2,1.9,3.0,-7.5,5.3,5.9,12.5,2.6,6.9,-1.4,-9.2,-1.6,9.2,-2.3,-11.2,-1.7"
"16300,""Cedar Rapids, IA (Metropolitan Statistical Area)"",-1.1,7.8,9.5,4.8,0.9,9.6,-1.2,1.3,5.7,2.6,0.8,-1.7,4.1,3.5,2.2,-0.9,2.6,-2.6,-2.0,2.9"
"16540,""Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)"",-1.8,7.2,8.4,9.1,6.1,5.2,-0.7,-6.5,-0.6,0.5,-0.9,2.1,2.0,2.5,-2.9,8.2,-0.5,-0.9,-5.5,3.9"
"16580,""Champaign-Urbana, IL (Metropolitan Statistical Area)"",5.2,0.4,2.1,-0.4,2.0,2.0,4.5,-1.1,3.9,1.0,0.1,4.1,1.8,-0.1,-2.5,-0.6,-1.1,0.4,-1.0,4.0"
"16620,""Charleston, WV (Metropolitan Statistical Area)"",0.5,0.0,-0.5,2.7,1.9,0.1,-0.8,-0.2,-2.3,0.2,-3.7,-3.3,-2.0,-2.8,-1.3,-2.1,5.4,-5.2,-6.1,2.8"
"16700,""Charleston-North Charleston, SC (Metropolitan Statistical Area)"",4.6,5.8,6.2,6.5,3.3,4.4,-0.7,-3.5,4.4,4.9,5.6,-0.4,2.7,4.4,5.2,1.8,3.1,4.6,-3.5,7.6"
